Y,Higher Y,Dista,Delta,Z,MM
290,290,0,0,0,235
290,287,3,3,2.5,
290,284,3,6,5,
290,282,2,8,7.5,
290,280,2,10,10,
290,277,3,13,12.5,
290,274,3,16,15,
290,271,3,19,17.5,
290,269,2,21,20,
290,266,3,24,22.5,
290,264,2,26,25,
290,260,4,30,27.5,
290,257,3,33,30,
290,255,2,35,32.5,
290,252,3,38,35,
290,249,3,41,37.5,
290,245,4,45,40,
290,242,3,48,42.5,
290,238,4,52,45,
290,235,3,55,47.5,
290,232,3,58,50,
280,280,0,0,0,230
280,277,3,3,2.5,
280,274,3,6,5,
280,272,2,8,7.5,
280,269,3,11,10,
280,267,2,13,12.5,
280,264,3,16,15,
280,261,3,19,17.5,
280,258,3,22,20,
280,255,3,25,22.5,
280,252,3,28,25,
280,249,3,31,27.5,
280,246,3,34,30,
280,243,3,37,32.5,
280,240,3,40,35,
280,237,3,43,37.5,
280,234,3,46,40,
280,231,3,49,42.5,
280,227,4,53,45,
280,224,3,56,47.5,
280,221,3,59,50,
263,263,0,0,0,220
263,260,3,3,2.5,
263,257,3,6,5,
263,254,3,9,7.5,
263,251,3,12,10,
263,249,2,14,12.5,
263,246,3,17,15,
263,243,3,20,17.5,
263,240,3,23,20,
263,237,3,26,22.5,
263,234,3,29,25,
263,231,3,32,27.5,
263,228,3,35,30,
263,225,3,38,32.5,
263,222,3,41,35,
263,219,3,44,37.5,
263,216,3,47,40,
263,213,3,50,42.5,
263,209,4,54,45,
263,206,3,57,47.5,
263,203,3,60,50,
246,246,0,0,0,210
246,242,4,4,2.5,
246,239,3,7,5,
246,236,3,10,7.5,
246,233,3,13,10,
246,230,3,16,12.5,
246,228,2,18,15,
246,225,3,21,17.5,
246,222,3,24,20,
246,219,3,27,22.5,
246,216,3,30,25,
246,213,3,33,27.5,
246,210,3,36,30,
246,207,3,39,32.5,
246,204,3,42,35,
246,201,3,45,37.5,
246,198,3,48,40,
246,194,4,52,42.5,
246,191,3,55,45,
246,188,3,58,47.5,
246,185,3,61,50,
231,231,0,0,0,200
231,227,4,4,2.5,
231,224,3,7,5,
231,222,2,9,7.5,
231,219,3,12,10,
231,216,3,15,12.5,
231,213,3,18,15,
231,210,3,21,17.5,
231,207,3,24,20,
231,204,3,27,22.5,
231,201,3,30,25,
231,198,3,33,27.5,
231,194,4,37,30,
231,191,3,40,32.5,
231,188,3,43,35,
231,185,3,46,37.5,
231,182,3,49,40,
231,179,3,52,42.5,
231,174,5,57,45,
231,172,2,59,47.5,
231,168,4,63,50,
215,215,0,0,0,190
215,210,5,5,2.5,
215,207,3,8,5,
215,204,3,11,7.5,
215,202,2,13,10,
215,199,3,16,12.5,
215,196,3,19,15,
215,193,3,22,17.5,
215,190,3,25,20,
215,188,2,27,22.5,
215,184,4,31,25,
215,181,3,34,27.5,
215,178,3,37,30,
215,175,3,40,32.5,
215,172,3,43,35,
215,168,4,47,37.5,
215,165,3,50,40,
215,162,3,53,42.5,
215,159,3,56,45,
215,155,4,60,47.5,
215,152,3,63,50,
200,200,0,0,0,180
200,195,5,5,2.5,
200,192,3,8,5,
200,189,3,11,7.5,
200,186,3,14,10,
200,183,3,17,12.5,
200,181,2,19,15,
200,178,3,22,17.5,
200,175,3,25,20,
200,172,3,28,22.5,
200,168,4,32,25,
200,165,3,35,27.5,
200,162,3,38,30,
200,159,3,41,32.5,
200,155,4,45,35,
200,152,3,48,37.5,
200,149,3,51,40,
200,146,3,54,42.5,
200,142,4,58,45,
200,139,3,61,47.5,
200,135,4,65,50,
185,185,0,0,0,170
185,181,4,4,2.5,
185,178,3,7,5,
185,175,3,10,7.5,
185,172,3,13,10,
185,169,3,16,12.5,
185,167,2,18,15,
185,164,3,21,17.5,
185,161,3,24,20,
185,158,3,27,22.5,
185,154,4,31,25,
185,151,3,34,27.5,
185,147,4,38,30,
185,144,3,41,32.5,
185,141,3,44,35,
185,138,3,47,37.5,
185,134,4,51,40,
185,131,3,54,42.5,
185,127,4,58,45,
185,124,3,61,47.5,
200,120,4,80,50,
172,172,0,0,0,160
172,167,5,5,2.5,
172,164,3,8,5,
172,161,3,11,7.5,
172,158,3,14,10,
172,155,3,17,12.5,
172,152,3,20,15,
172,150,2,22,17.5,
172,147,3,25,20,
172,144,3,28,22.5,
172,141,3,31,25,
172,137,4,35,27.5,
172,134,3,38,30,
172,131,3,41,32.5,
172,128,3,44,35,
172,124,4,48,37.5,
172,121,3,51,40,
172,118,3,54,42.5,
172,114,4,58,45,
172,111,3,61,47.5,
172,107,4,65,50,
158,158,0,0,0,150
158,153,5,5,2.5,
158,151,2,7,5,
158,148,3,10,7.5,
158,145,3,13,10,
158,142,3,16,12.5,
158,138,4,20,15,
158,136,2,22,17.5,
158,133,3,25,20,
158,130,3,28,22.5,
158,127,3,31,25,
158,123,4,35,27.5,
158,120,3,38,30,
158,117,3,41,32.5,
158,114,3,44,35,
158,111,3,47,37.5,
158,107,4,51,40,
158,104,3,54,42.5,
158,101,3,57,45,
158,98,3,60,47.5,
158,94,4,64,50,
146,146,0,0,0,140
146,141,5,5,2.5,
146,138,3,8,5,
146,135,3,11,7.5,
146,132,3,14,10,
146,129,3,17,12.5,
146,126,3,20,15,
146,123,3,23,17.5,
146,120,3,26,20,
146,117,3,29,22.5,
146,113,4,33,25,
146,110,3,36,27.5,
146,107,3,39,30,
146,104,3,42,32.5,
146,100,4,46,35,
146,97,3,49,37.5,
146,93,4,53,40,
146,90,3,56,42.5,
146,86,4,60,45,
146,82,4,64,47.5,
146,79,3,67,50,
134,134,0,0,0,130
134,129,5,5,2.5,
134,126,3,8,5,
134,123,3,11,7.5,
134,120,3,14,10,
134,117,3,17,12.5,
134,114,3,20,15,
134,111,3,23,17.5,
134,108,3,26,20,
134,105,3,29,22.5,
134,102,3,32,25,
134,98,4,36,27.5,
134,95,3,39,30,
134,91,4,43,32.5,
134,88,3,46,35,
134,85,3,49,37.5,
134,81,4,53,40,
134,77,4,57,42.5,
134,74,3,60,45,
134,70,4,64,47.5,
134,66,4,68,50,
123,123,0,0,0,120
123,118,5,5,2.5,
123,115,3,8,5,
123,112,3,11,7.5,
123,109,3,14,10,
123,106,3,17,12.5,
123,103,3,20,15,
123,100,3,23,17.5,
123,97,3,26,20,
123,93,4,30,22.5,
123,90,3,33,25,
123,87,3,36,27.5,
123,83,4,40,30,
123,80,3,43,32.5,
123,77,3,46,35,
123,73,4,50,37.5,
123,70,3,53,40,
123,66,4,57,42.5,
123,62,4,61,45,
123,59,3,64,47.5,
123,56,3,67,50,
111,111,0,0,0,110
111,106,5,5,2.5,
111,103,3,8,5,
111,100,3,11,7.5,
111,97,3,14,10,
111,94,3,17,12.5,
111,91,3,20,15,
111,88,3,23,17.5,
111,85,3,26,20,
111,82,3,29,22.5,
111,78,4,33,25,
111,75,3,36,27.5,
111,72,3,39,30,
111,68,4,43,32.5,
111,65,3,46,35,
111,62,3,49,37.5,
111,58,4,53,40,
111,54,4,57,42.5,
111,51,3,60,45,
111,47,4,64,47.5,
111,44,3,67,50,
100,100,0,0,0,100
100,96,4,4,2.5,
100,93,3,7,5,
100,90,3,10,7.5,
100,87,3,13,10,
100,84,3,16,12.5,
100,81,3,19,15,
100,78,3,22,17.5,
100,75,3,25,20,
100,72,3,28,22.5,
100,68,4,32,25,
100,65,3,35,27.5,
100,62,3,38,30,
100,59,3,41,32.5,
100,56,3,44,35,
100,52,4,48,37.5,
100,48,4,52,40,
100,45,3,55,42.5,
100,41,4,59,45,
100,38,3,62,47.5,
100,34,4,66,50,
89,89,0,0,0,90
89,85,4,4,2.5,
89,82,3,7,5,
89,79,3,10,7.5,
89,76,3,13,10,
89,73,3,16,12.5,
89,70,3,19,15,
89,67,3,22,17.5,
89,64,3,25,20,
89,61,3,28,22.5,
89,57,4,32,25,
89,54,3,35,27.5,
89,51,3,38,30,
89,48,3,41,32.5,
89,44,4,45,35,
89,41,3,48,37.5,
89,37,4,52,40,
89,33,4,56,42.5,
89,30,3,59,45,
89,26,4,63,47.5,
89,22,4,67,50,
79,79,0,0,0,80
79,75,4,4,2.5,
79,72,3,7,5,
79,69,3,10,7.5,
79,66,3,13,10,
79,64,2,15,12.5,
79,61,3,18,15,
79,58,3,21,17.5,
79,55,3,24,20,
79,52,3,27,22.5,
79,48,4,31,25,
79,45,3,34,27.5,
79,42,3,37,30,
79,39,3,40,32.5,
79,36,3,43,35,
79,32,4,47,37.5,
79,29,3,50,40,
79,26,3,53,42.5,
79,22,4,57,45,
79,19,3,60,47.5,
79,15,4,64,50,
